"timestamp","pm10","pm2.5","pm1","noise","illuminance","irradiance","temperature","humidity","presure","voltage","batery","panel","sensor"
"2020-09-12T17:50:39.000Z","{""value"":30,""max"":31,""min"":29,""sd"":1.41}","{""value"":26.5,""max"":27,""min"":26,""sd"":0.71}","{""value"":18,""max"":18,""min"":18,""sd"":0}","{""value"":0,""max"":0.16,""min"":0,""sd"":0.03}","{""value"":15.78,""max"":18,""min"":12,""sd"":1.63}","{""value"":384.29,""max"":639,""min"":285,""sd"":74.25}","{""value"":26.03,""max"":26.22,""min"":25.76,""sd"":0.21}","{""value"":68,""max"":69.99,""min"":65.99,""sd"":0.98}","{""value"":900.15,""max"":900.35,""min"":899.99,""sd"":0.16}","{""value"":4.92,""max"":4.92,""min"":4.92,""sd"":0.01}","{""value"":4.09,""max"":4.09,""min"":4.09,""sd"":0}","{""value"":5.92,""max"":6.26,""min"":4.94,""sd"":0.54}",
"2020-09-12T17:50:39.000Z","{""value"":29.4,""max"":34,""min"":26,""sd"":2.32}","{""value"":26,""max"":28,""min"":23,""sd"":1.36}","{""value"":17.93,""max"":19,""min"":17,""sd"":0.59}",,,,,,,,,,2
"2020-09-12T17:35:23.000Z","{""value"":23.73,""max"":27,""min"":21,""sd"":2.12}","{""value"":23.2,""max"":26,""min"":21,""sd"":1.66}","{""value"":15.67,""max"":17,""min"":14,""sd"":0.98}",,,,,,,,,,2
"2020-09-12T17:35:23.000Z",,,,"{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":20.14,""max"":21,""min"":18,""sd"":1.03}","{""value"":257.66,""max"":311,""min"":234,""sd"":22.42}","{""value"":25.5,""max"":25.75,""min"":25.25,""sd"":0.2}","{""value"":69.55,""max"":70.95,""min"":68.16,""sd"":0.87}","{""value"":900.59,""max"":900.78,""min"":900.34,""sd"":0.19}","{""value"":4.92,""max"":4.92,""min"":4.92,""sd"":0}","{""value"":4.09,""max"":4.09,""min"":4.09,""sd"":0}","{""value"":5.96,""max"":6.15,""min"":5.86,""sd"":0.15}",
"2020-09-12T17:20:05.000Z","{""value"":33.77,""max"":51,""min"":24,""sd"":7.61}","{""value"":29.4,""max"":42,""min"":21,""sd"":6.02}","{""value"":20,""max"":28,""min"":15,""sd"":3.96}",,,,,,,,,,2
"2020-09-12T17:20:05.000Z","{""value"":27.2,""max"":30,""min"":25,""sd"":1.92}","{""value"":21.8,""max"":25,""min"":20,""sd"":2.17}","{""value"":14.8,""max"":16,""min"":13,""sd"":1.3}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":20.33,""max"":23,""min"":18,""sd"":1.66}","{""value"":247.26,""max"":308,""min"":194,""sd"":33.42}","{""value"":24.98,""max"":25.25,""min"":24.76,""sd"":0.18}","{""value"":70.56,""max"":72.22,""min"":69.08,""sd"":0.89}","{""value"":901.01,""max"":901.17,""min"":900.76,""sd"":0.18}","{""value"":4.92,""max"":4.92,""min"":4.91,""sd"":0.03}","{""value"":4.09,""max"":4.09,""min"":4.09,""sd"":0}","{""value"":5.75,""max"":6.09,""min"":1.74,""sd"":0.57}",
"2020-09-12T17:04:50.000Z","{""value"":24.67,""max"":31,""min"":20,""sd"":3.24}","{""value"":21.33,""max"":24,""min"":20,""sd"":1.18}","{""value"":13.93,""max"":15,""min"":13,""sd"":0.59}","{""value"":0,""max"":0.22,""min"":0,""sd"":0.04}","{""value"":24.68,""max"":26,""min"":24,""sd"":0.58}","{""value"":177.77,""max"":192,""min"":170,""sd"":5.37}","{""value"":24.58,""max"":24.74,""min"":24.44,""sd"":0.14}","{""value"":71.85,""max"":73.57,""min"":70.49,""sd"":0.86}","{""value"":901.46,""max"":901.67,""min"":901.18,""sd"":0.22}","{""value"":4.91,""max"":4.92,""min"":4.91,""sd"":0.04}","{""value"":4.09,""max"":4.09,""min"":4.09,""sd"":0}","{""value"":5.12,""max"":5.47,""min"":4.91,""sd"":0.28}",
"2020-09-12T17:04:50.000Z","{""value"":23.73,""max"":25,""min"":21,""sd"":1.16}","{""value"":22.6,""max"":25,""min"":21,""sd"":1.3}","{""value"":16.13,""max"":18,""min"":15,""sd"":1.06}",,,,,,,,,,2
"2020-09-12T16:49:30.000Z","{""value"":27.53,""max"":33,""min"":21,""sd"":3.4}","{""value"":25.2,""max"":31,""min"":20,""sd"":2.99}","{""value"":17.3,""max"":20,""min"":14,""sd"":1.69}",,,,,,,,,,2
"2020-09-12T16:49:30.000Z","{""value"":26.5,""max"":27,""min"":26,""sd"":0.71}","{""value"":26.5,""max"":27,""min"":26,""sd"":0.71}","{""value"":20,""max"":20,""min"":20,""sd"":0}","{""value"":0.01,""max"":0.41,""min"":0,""sd"":0.08}","{""value"":21.54,""max"":24,""min"":20,""sd"":1.6}","{""value"":216.79,""max"":244,""min"":186,""sd"":20.27}","{""value"":24.3,""max"":24.46,""min"":24.12,""sd"":0.17}","{""value"":75.22,""max"":77.76,""min"":73.85,""sd"":0.97}","{""value"":901.92,""max"":902.09,""min"":901.67,""sd"":0.17}","{""value"":4.91,""max"":4.92,""min"":4.91,""sd"":0.04}","{""value"":4.09,""max"":4.09,""min"":4.09,""sd"":0}","{""value"":5.62,""max"":5.99,""min"":4.93,""sd"":0.4}",
