"timestamp","sensor","pm10","pm2.5","pm1","noise","illuminance","irradiance","temperature","humidity","presure","voltage","batery","panel"
"2020-09-12T02:52:08.000Z",2,"{""value"":18.53,""max"":23,""min"":14,""sd"":3.54}","{""value"":17.87,""max"":22,""min"":14,""sd"":3.02}","{""value"":13.8,""max"":16,""min"":11,""sd"":2.01}",,,,,,,,,
"2020-09-12T02:52:08.000Z",,"{""value"":21.2,""max"":30,""min"":16,""sd"":4.38}","{""value"":21.2,""max"":30,""min"":16,""sd"":4.38}","{""value"":14.2,""max"":17,""min"":11,""sd"":1.97}","{""value"":0.23,""max"":1.72,""min"":0.12,""sd"":0.24}","{""value"":594,""max"":594,""min"":594,""sd"":0}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":25.95,""max"":25.97,""min"":25.93,""sd"":0.08}","{""value"":59.66,""max"":60.8,""min"":59.02,""sd"":0.61}","{""value"":898.96,""max"":899.01,""min"":898.92,""sd"":0.13}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0.03}","{""value"":4.2,""max"":4.2,""min"":4.2,""sd"":0.02}","{""value"":0.01,""max"":0.03,""min"":0,""sd"":0.03}"
"2020-09-12T02:36:50.000Z",,"{""value"":16.07,""max"":24,""min"":10,""sd"":4.78}","{""value"":15.83,""max"":23,""min"":10,""sd"":4.55}","{""value"":9.97,""max"":15,""min"":6,""sd"":3.13}","{""value"":0.34,""max"":1.66,""min"":0.13,""sd"":0.33}","{""value"":594,""max"":594,""min"":594,""sd"":0}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":25.94,""max"":25.96,""min"":25.92,""sd"":0.08}","{""value"":61.17,""max"":62.18,""min"":60.01,""sd"":0.8}","{""value"":898.83,""max"":898.99,""min"":898.68,""sd"":0.17}","{""value"":5.04,""max"":5.06,""min"":5.04,""sd"":0.04}","{""value"":4.2,""max"":4.2,""min"":4.2,""sd"":0.03}","{""value"":0.01,""max"":0.03,""min"":0.01,""sd"":0.03}"
"2020-09-12T02:36:50.000Z",2,"{""value"":15.37,""max"":21,""min"":9,""sd"":3.7}","{""value"":15.03,""max"":20,""min"":9,""sd"":3.37}","{""value"":11.9,""max"":15,""min"":8,""sd"":2.26}",,,,,,,,,
"2020-09-12T02:21:40.000Z",2,"{""value"":20.8,""max"":25,""min"":18,""sd"":2.37}","{""value"":20.13,""max"":25,""min"":16,""sd"":2.85}","{""value"":15.53,""max"":18,""min"":13,""sd"":1.41}",,,,,,,,,
"2020-09-12T02:21:40.000Z",,"{""value"":21.2,""max"":26,""min"":16,""sd"":2.88}","{""value"":20.8,""max"":26,""min"":16,""sd"":3.05}","{""value"":14.53,""max"":16,""min"":13,""sd"":1.25}","{""value"":0.41,""max"":1.74,""min"":0.13,""sd"":0.48}","{""value"":594,""max"":594,""min"":594,""sd"":0}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":25.96,""max"":25.98,""min"":25.93,""sd"":0.08}","{""value"":61.04,""max"":61.88,""min"":59.87,""sd"":0.64}","{""value"":898.49,""max"":898.67,""min"":898.37,""sd"":0.15}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0.02}","{""value"":4.2,""max"":4.2,""min"":4.2,""sd"":0.04}","{""value"":0.01,""max"":0.03,""min"":0,""sd"":0.04}"
"2020-09-12T02:06:31.000Z",,"{""value"":14.97,""max"":21,""min"":10,""sd"":3.36}","{""value"":14.33,""max"":19,""min"":9,""sd"":2.95}","{""value"":10.2,""max"":13,""min"":7,""sd"":1.95}","{""value"":0.36,""max"":1.73,""min"":0.13,""sd"":0.46}","{""value"":594,""max"":594,""min"":594,""sd"":0}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":25.91,""max"":25.96,""min"":25.82,""sd"":0.09}","{""value"":59.02,""max"":60.35,""min"":57.34,""sd"":0.97}","{""value"":898.38,""max"":898.44,""min"":898.32,""sd"":0.13}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0.03}","{""value"":4.2,""max"":4.2,""min"":4.2,""sd"":0.05}","{""value"":0.01,""max"":0.03,""min"":0.01,""sd"":0.03}"
"2020-09-12T02:06:31.000Z",2,"{""value"":14.2,""max"":20,""min"":9,""sd"":3.79}","{""value"":13.9,""max"":20,""min"":9,""sd"":3.92}","{""value"":10.9,""max"":15,""min"":7,""sd"":2.74}",,,,,,,,,
"2020-09-12T01:51:22.000Z",,"{""value"":10.33,""max"":14,""min"":8,""sd"":1.63}","{""value"":9.67,""max"":13,""min"":8,""sd"":1.45}","{""value"":6.67,""max"":7,""min"":6,""sd"":0.49}","{""value"":0.35,""max"":1.72,""min"":0.13,""sd"":0.47}","{""value"":594,""max"":594,""min"":594,""sd"":0}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":25.76,""max"":25.83,""min"":25.69,""sd"":0.1}","{""value"":59.76,""max"":61,""min"":58.49,""sd"":0.71}","{""value"":898.3,""max"":898.4,""min"":898.2,""sd"":0.14}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0}","{""value"":4.2,""max"":4.2,""min"":4.2,""sd"":0.05}","{""value"":0.01,""max"":0.01,""min"":0.01,""sd"":0}"
"2020-09-12T01:51:22.000Z",2,"{""value"":8.67,""max"":10,""min"":7,""sd"":0.9}","{""value"":8.33,""max"":10,""min"":7,""sd"":0.72}","{""value"":7,""max"":8,""min"":6,""sd"":0.85}",,,,,,,,,
